Strategy,Metric,Train,Valid,Test
LightGBM_24bar_Base,Ann. Return,N/A,-8.13%,-8.63%
LightGBM_24bar_Base,Sharpe Ratio,N/A,-0.31,-0.28
LightGBM_24bar_Base,Max Drawdown,N/A,49.12%,54.11%
LightGBM_24bar_Base,Win Rate,N/A,52.9%,53.2%
LightGBM_24bar_Base,Num Trades,N/A,750,994
LightGBM_24bar_Base,Time in Market,N/A,90.9%,88.6%
LightGBM_24bar_Base,Avg Holding (bars),N/A,71.3,69.6
LightGBM_24bar_Fix12,Ann. Return,N/A,9.17%,-10.08%
LightGBM_24bar_Fix12,Sharpe Ratio,N/A,0.49,-0.34
LightGBM_24bar_Fix12,Max Drawdown,N/A,27.72%,53.86%
LightGBM_24bar_Fix12,Win Rate,N/A,53.3%,51.5%
LightGBM_24bar_Fix12,Num Trades,N/A,3750,4775
LightGBM_24bar_Fix12,Time in Market,N/A,75.8%,73.0%
LightGBM_24bar_Fix12,Avg Holding (bars),N/A,11.9,11.9
LightGBM_24bar_Fix18,Ann. Return,N/A,7.76%,-9.30%
LightGBM_24bar_Fix18,Sharpe Ratio,N/A,0.39,-0.31
LightGBM_24bar_Fix18,Max Drawdown,N/A,28.36%,53.33%
LightGBM_24bar_Fix18,Win Rate,N/A,54.2%,52.1%
LightGBM_24bar_Fix18,Num Trades,N/A,2742,3525
LightGBM_24bar_Fix18,Time in Market,N/A,82.2%,79.3%
LightGBM_24bar_Fix18,Avg Holding (bars),N/A,17.6,17.6
LightGBM_24bar_SL0.5%,Ann. Return,N/A,-6.01%,-7.06%
LightGBM_24bar_SL0.5%,Sharpe Ratio,N/A,-0.23,-0.23
LightGBM_24bar_SL0.5%,Max Drawdown,N/A,48.85%,53.88%
LightGBM_24bar_SL0.5%,Win Rate,N/A,46.6%,45.5%
LightGBM_24bar_SL0.5%,Num Trades,N/A,1169,1561
LightGBM_24bar_SL0.5%,Time in Market,N/A,89.0%,86.5%
LightGBM_24bar_SL0.5%,Avg Holding (bars),N/A,44.8,43.3
LightGBM_24bar_SL1.0%,Ann. Return,N/A,-9.40%,-8.97%
LightGBM_24bar_SL1.0%,Sharpe Ratio,N/A,-0.36,-0.30
LightGBM_24bar_SL1.0%,Max Drawdown,N/A,48.97%,54.31%
LightGBM_24bar_SL1.0%,Win Rate,N/A,51.5%,50.4%
LightGBM_24bar_SL1.0%,Num Trades,N/A,893,1180
LightGBM_24bar_SL1.0%,Time in Market,N/A,90.2%,88.0%
LightGBM_24bar_SL1.0%,Avg Holding (bars),N/A,59.5,58.2
LightGBM_24bar_Trail0.3%,Ann. Return,N/A,-9.21%,-5.17%
LightGBM_24bar_Trail0.3%,Sharpe Ratio,N/A,-0.37,-0.18
LightGBM_24bar_Trail0.3%,Max Drawdown,N/A,48.49%,52.22%
LightGBM_24bar_Trail0.3%,Win Rate,N/A,41.7%,40.3%
LightGBM_24bar_Trail0.3%,Num Trades,N/A,2658,3454
LightGBM_24bar_Trail0.3%,Time in Market,N/A,81.8%,80.0%
LightGBM_24bar_Trail0.3%,Avg Holding (bars),N/A,18.1,18.1
LightGBM_24bar_Trail0.5%,Ann. Return,N/A,-9.66%,-4.96%
LightGBM_24bar_Trail0.5%,Sharpe Ratio,N/A,-0.39,-0.17
LightGBM_24bar_Trail0.5%,Max Drawdown,N/A,52.24%,54.03%
LightGBM_24bar_Trail0.5%,Win Rate,N/A,44.9%,43.7%
LightGBM_24bar_Trail0.5%,Num Trades,N/A,1705,2204
LightGBM_24bar_Trail0.5%,Time in Market,N/A,86.0%,84.2%
LightGBM_24bar_Trail0.5%,Avg Holding (bars),N/A,29.7,29.8
LightGBM_24bar_Trail0.75%,Ann. Return,N/A,-5.01%,-8.78%
LightGBM_24bar_Trail0.75%,Sharpe Ratio,N/A,-0.20,-0.29
LightGBM_24bar_Trail0.75%,Max Drawdown,N/A,49.20%,54.03%
LightGBM_24bar_Trail0.75%,Win Rate,N/A,48.5%,46.8%
LightGBM_24bar_Trail0.75%,Num Trades,N/A,1243,1625
