Strategy,Metric,Train,Valid,Test
MomentumBreakout,Ann. Return,5.77%,19.49%,-24.34%
MomentumBreakout,Sharpe Ratio,0.17,0.47,-0.79
MomentumBreakout,Max Drawdown,36.52%,6.92%,68.63%
MomentumBreakout,Win Rate,51.5%,55.7%,51.6%
MomentumBreakout,Num Trades,4796,682,881
MomentumBreakout,Time in Market,8.2%,7.0%,6.7%
MomentumBreakout,Avg Holding (bars),6.2,6.0,5.9
MeanReversion,Ann. Return,-9.84%,4.69%,-11.56%
MeanReversion,Sharpe Ratio,-0.37,0.27,-1.40
MeanReversion,Max Drawdown,88.19%,23.90%,40.30%
MeanReversion,Win Rate,59.4%,60.6%,55.3%
MeanReversion,Num Trades,5647,918,1184
MeanReversion,Time in Market,21.1%,20.9%,21.9%
MeanReversion,Avg Holding (bars),13.6,13.4,14.4
ORB,Ann. Return,-5.97%,-1.92%,-1.18%
ORB,Sharpe Ratio,-0.45,-0.22,-0.07
ORB,Max Drawdown,68.85%,22.79%,32.75%
ORB,Win Rate,52.3%,55.7%,60.0%
ORB,Num Trades,2398,377,532
ORB,Time in Market,34.4%,33.4%,35.8%
ORB,Avg Holding (bars),52.0,52.2,52.6
XGBoost_24bar,Ann. Return,100.26%,6.19%,-33.44%
XGBoost_24bar,Sharpe Ratio,1.02,0.30,-0.74
XGBoost_24bar,Max Drawdown,78.26%,29.28%,85.06%
XGBoost_24bar,Win Rate,53.9%,53.6%,52.5%
XGBoost_24bar,Num Trades,4601,754,999
XGBoost_24bar,Time in Market,92.0%,91.9%,90.5%
XGBoost_24bar,Avg Holding (bars),72.5,71.8,70.7
LightGBM_24bar,Ann. Return,90.48%,-8.13%,-8.63%
LightGBM_24bar,Sharpe Ratio,0.86,-0.31,-0.28
LightGBM_24bar,Max Drawdown,69.43%,49.12%,54.11%
LightGBM_24bar,Win Rate,53.1%,52.9%,53.2%
LightGBM_24bar,Num Trades,4609,750,994
LightGBM_24bar,Time in Market,92.2%,90.9%,88.6%
LightGBM_24bar,Avg Holding (bars),72.5,71.3,69.6
XGBoost_36bar,Ann. Return,76.13%,8.39%,-16.51%
XGBoost_36bar,Sharpe Ratio,0.87,0.40,-0.48
XGBoost_36bar,Max Drawdown,94.29%,28.05%,61.80%
XGBoost_36bar,Win Rate,54.2%,53.9%,51.7%
XGBoost_36bar,Num Trades,4590,753,997
XGBoost_36bar,Time in Market,92.2%,92.6%,91.2%
XGBoost_36bar,Avg Holding (bars),72.8,72.4,71.4
LightGBM_36bar,Ann. Return,67.31%,12.91%,-10.26%
LightGBM_36bar,Sharpe Ratio,0.62,0.44,-0.30
LightGBM_36bar,Max Drawdown,95.87%,31.93%,61.53%
LightGBM_36bar,Win Rate,53.5%,53.5%,52.9%
LightGBM_36bar,Num Trades,4594,753,994
LightGBM_36bar,Time in Market,92.2%,91.6%,90.3%
LightGBM_36bar,Avg Holding (bars),72.8,71.6,70.9
XGBoost_eod,Ann. Return,94.97%,9.89%,-29.88%
XGBoost_eod,Sharpe Ratio,1.19,0.48,-0.65
XGBoost_eod,Max Drawdown,75.96%,28.00%,82.65%
XGBoost_eod,Win Rate,55.2%,54.2%,52.2%
XGBoost_eod,Num Trades,4545,751,992
XGBoost_eod,Time in Market,90.8%,93.4%,91.5%
XGBoost_eod,Avg Holding (bars),72.4,73.2,72.0
LightGBM_eod,Ann. Return,51.97%,27.69%,-34.83%
LightGBM_eod,Sharpe Ratio,0.64,1.84,-0.76
LightGBM_eod,Max Drawdown,93.74%,10.47%,85.01%
LightGBM_eod,Win Rate,54.3%,55.8%,53.5%
LightGBM_eod,Num Trades,4533,749,991
LightGBM_eod,Time in Market,90.6%,91.9%,88.9%
LightGBM_eod,Avg Holding (bars),72.4,72.2,70.0
